Ontology Name,Short Name,Domain,Used in Projects,Purpose,Competency Questions,License,Last update,Homepage,Ontology category,Ontology file,Reference (Paper),Citations,use cases,overlaps,what makes it common?,structural differences,special problem
Common Core Ontology,CCO,,"KupferDigital, ODE_AM, DiStAl, LeBeDigital, Materials Open Laboratory, JIDO, CERDEC I2WD, ARL, AFRL Wright Patterson, AFRL Rome, OSD","represent the most generic categories of entity and the most generic types of relations that hold between them, by defining a small number of classes and relations",Unknown,CC BY 3.0,15-Mar-22,https://github.com/CommonCoreOntology/CommonCoreOntologies,middle-level,https://raw.githubusercontent.com/CommonCoreOntology/CommonCoreOntologies/master/AllCoreOntology.ttl,https://www.nist.gov/system/files/documents/2021/10/14/nist-ai-rfi-cubrc_inc_004.pdf ,,,,"adopts a modular approach to ontology development, according to which different
ontologies are responsible for representing reality at different levels of granularity or in different
domains",,
Baden Württemberg Material Digital Domain Mid Level Ontology,BWMD-MID,Materials Science,"Materials Open Laboratory, AluTrace, DMD4Future, KMU-akut: ADAM",implementing a process chain,Unknown,Unknown,11-Oct-2022,https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/bwmd_ontology,mid-level,https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/bwmd_ontology/-/raw/master/BWMD_mid.owl,,,Unknown,,The separated ontology modules help to easily reuse the corresponding concepts of the BWMD ontology,based on the upper ontology BFO,
Baden Württemberg Material Digital Domain Ontology,BWMD-DOMAIN,Materials Science,"Materials Open Laboratory, AluTrace, DMD4Future, KMU-akut: ADAM",implementing a process chain,Unknown,Unknown,11-Oct-2022,https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/bwmd_ontology,domain-level,https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/bwmd_ontology/-/raw/master/BWMD_domain.owl,,,Unknown,,The separated ontology modules help to easily reuse the corresponding concepts of the BWMD ontology,based on the upper ontology BFO,
Matolab Tensile Test Ontology,MOL_TENSILE,Tensile Test,Materials Open Laboratory,"An ontology for describing the tensile test process, made in the Materials Open Lab Project.",Unknown,Unknown,16-April-2021,https://matportal.org/ontologies/MOL_TENSILE,application-level,http://rest.matportal.org/ontologies/MOL_TENSILE/submissions/2/download?apikey=66c82e77-ce0d-4385-8056-a95898e47ebb,,,,,,based on BWMD ontology,
Laser Powder Bed Fusion Ontology,LPBFO,Additive Manufacturing,"Materials Open Laboratory, AluTrace, DMD4Future, KMU-akut: ADAM",describe the additive manufacturing of a component via Laser Powder Bed Fusion (LPBF) / Selective Laser Melting (SLM),Unknown,Unknown,13-Oct-2022,https://matportal.org/ontologies/LPBFO,domain-level,http://rest.matportal.org/ontologies/LPBFO/submissions/8/download?apikey=66c82e77-ce0d-4385-8056-a95898e47ebb,,,,,,based on BFO2.0 and BWMD,
PROV Ontology,PROV,Provenance Information,"39 datasets, KupferDigital, StahlDigital",represent and interchange provenance information,,Unknown,30-Apr-13,https://www.w3.org/TR/prov-o/ ,Unknown,http://www.w3.org/ns/prov-o.owl,http://www.w3.org/TR/prov-o/,"519, https://scholar.google.de/scholar?cites=10865476685257256134&as_sdt=2005&sciodt=0,5&hl=de",,,W3C recommended,,
EMMO General Process Ontology,GPO,Process Modeling,"KIproBatt, OpenSemanticLab, Battery Value Chain Ontology",model processes,Unknown,CC BY 4.0,19-May-22,https://github.com/General-Process-Ontology/ontology ,domain-level,https://raw.githubusercontent.com/General-Process-Ontology/ontology/master/GPO_inferred.ttl,,,,,Based on EMMO,,
Battery Value Chain Ontology Ontology,EMMO_BVC,Batteries,"eLi /eLi-PLUS, KiProBatt",higher-level process chains for material processing and manufacturing,Unknown,CC BY 4.0,27-Jun-22,https://github.com/Battery-Value-Chain-Ontology/ontology ,domain-level,https://raw.githubusercontent.com/Battery-Value-Chain-Ontology/ontology/master/BVCO.ttl,,,,with BattINFO ontology,Based on EMMO and GPO,,
EMMO Crystallography,EMMO_crystallography,Crystallography,"Demystify ontologies, OntoTrans, MarketPlace, BIG-MAP",describe crystallography,Unknown,CC BY 4.0,7-May-21,https://github.com/emmo-repo/domain-crystallography ,domain-level,https://raw.githubusercontent.com/emmo-repo/domain-crystallography/master/crystallography.ttl,,,,,based on EMMO and the CIF core dictionary,,
CIF Core Ontology,CIF-core,Crystallography,"Demystify ontologies, OntoTrans, MarketPlace, BIG-MAP",describe crystallography,Unknown,CC BY 4.0,21-Dec-22,https://github.com/emmo-repo/CIF-ontology,domain-level,https://raw.githubusercontent.com/emmo-repo/CIF-ontology/main/ontology/cif-core.ttl,,,,,core concepts in crystallography,,
EMMO Datamodel ontology,EMMO_datamodel,Ontology-Based Data Modelling,"MarketPlace, OntoTrans, OpenModel, VIPCOAT",make application specific data semantic interoperabel,Unknown,CC BY 4.0,14-May-22,https://github.com/emmo-repo/datamodel-ontology ,mid-level,https://raw.githubusercontent.com/emmo-repo/datamodel/master/datamodel.ttl,https://www.scipedia.com/public/Hagelien_et_al_2021a ,"3, https://scholar.google.de/scholar?cites=6827805620527048105&as_sdt=2005&sciodt=0,5&hl=en",interoperability framework using the ProMo simulation environment,,"Based on EMMO, modular",,
EMMO Mappings ontology,EMMO_mappings,Mapping to domains and ontological concepts,"MarketPlace, OntoTrans, OpenModel","maps domains with workflows, applications, experts etc and enable discoverability",Unknown,CC BY 4.0,31-Oct-21,https://github.com/emmo-repo/domain-mappings ,mid-level,https://raw.githubusercontent.com/emmo-repo/domain-mappings/master/mappings.ttl,,,,,Based on EMMO,,
EMMO Atomistic and Electronic Modelling,EMMO_atomistic,Computational Materials Science,MarketPlace,atomistic and electronic modelling,Unknown,CC BY 4.0,7-May-21,https://github.com/emmo-repo/domain-atomistic ,domain-level,https://raw.githubusercontent.com/emmo-repo/domain-atomistic/master/atomistic.ttl,,,,,Based on EMMO,,
MatOnto,MatOnto,Materials Discovery,Unknown,,Unknown,MIT License,8-Aug-14,https://github.com/inovexcorp/MatOnto-Ontologies ,domain-level,https://raw.githubusercontent.com/inovexcorp/MatOnto-Ontologies/master/matonto-release.ttl,,,"PhaseEquilibriumData, ceramic",,"reuse DOLCE/Ontolingua’s Units and Dimensions, JCAS, W3C Time",modular,
MatOWL,MatOWL,Materials Discovery,"the Key Technologies Research and Development Program of China under, the R&D Infrastructure and Facility Development Program, the Hi-Tech Research and Development Program of China",,Unknown,Unknown,,,domain-level,,https://doi.org/10.2481/dsj.8.1,"28, https://scholar.google.de/scholar?cites=6236892888557771758&as_sdt=2005&sciodt=0,5&hl=en",,,reused MatML Schema,It's not modular,
Materials Ontology,MATINFO,Exchanging Materials Information and Knowledge,"Data exchange of AIST, NIMS, MatDB",,Unknown,Unknown,,https://www.researchgate.net/publication/262004148_MaterialOntology,domain-level,https://www.researchgate.net/publication/262004148_MaterialOntology,https://datascience.codata.org/articles/abstract/10.2481/dsj.008-041/ ,"122, https://scholar.google.de/scholar?cites=17440634165056042916&as_sdt=2005&sciodt=0,5&hl=en",,,,modular,
Plinius ontology,Plinius,Ceramic,Unknown,Knowledge extracting from document abstracts,Unknown,Unknown,,,application-level,,"Vet, Paul E. van der et al. “The Plinius ontology of ceramic materialsPaul.” (1994).","52, https://scholar.google.ca/scholar?cites=12108088121376979075&as_sdt=2005&sciodt=0,5&hl=en",,,,It's not modular,
PREMAP ontology,PREMAP,Materials Science,Unknown,Knowledge guided process design,Unknown,Unknown,,,domain-level,,"Bhat, Manoj, et al. ""Premλp: knowledge driven design of materials and engineering process."" ICoRD'13: Global Product Development. Springer India, 2013.","18, https://scholar.google.de/scholar?cites=18298476489450596761&as_sdt=2005&sciodt=0,5&hl=en",,,,modular,
ONTORULE steel ontology,ONTORULE,Steel Industry,ontorule project,"Quality control system for galvanizing process of the coilcoils, defects, phenomena",Unknown,Unknown,31-June-2010,,domain-level,https://raw.githubusercontent.com/ebrahimnorouzi/mseo.github.io/master/Ontology_files/ONTORULEsteel.ttl,"Emilio Rubiera and Christian de Sainte Marie. 2011. ONTORULE: from business knowledge to ontology- and rules-based applications. In Proceedings of the 2011 Conference of the Center for Advanced Studies on Collaborative Research (CASCON '11). IBM Corp., USA, 327–329.","4, https://scholar.google.de/scholar?cites=15191883162996681044&as_sdt=2005&sciodt=0,5&hl=en",,,,It's not modular,
SLACKS ontology,SLACKS,Composites,Unknown,Materials selection for laminated composites product,Unknown,Unknown,,,domain-level,,https://doi.org/10.1016/j.aei.2013.12.004,"41, https://scholar.google.de/scholar?cites=18364089154280450098&as_sdt=2005&sciodt=0,5&hl=en",,,"reuse/based on NASA unit ontology, part of
Ashino and MatOnto",It's not modular,
ELSSI-EMD ontology,ELSSI-EMD,Material Data,Unknown,,Unknown,Unknown,,,domain-level,,https://www.sciencedirect.com/topics/computer-science/data-ontology ,"0, https://scholar.google.de/scholar?cluster=1797074368769868629&hl=en&as_sdt=0,5",tensile test data,,"based on ISO 10303, ISO 18629, ISO 15926",modular,
"Semantic Materials, Manufacturing, and Design",SEMMD,"Materials, Manufacturing",Unknown,have human-understandable definitions,Unknown,CC BY-SA 4.0,15-Nov-2017,https://github.com/cpauloh/semmd,domain-level,https://raw.githubusercontent.com/cpauloh/semmd/master/onto/v07_matl_prop_merged.ttl,,,,,reuse BFO and QUDT,,
NanoParticle Ontology,NPO,Cancer Nanotechnology,"
caB2B, eNanoMapper, nano-TAB","represent the knowledge underlying the description, preparation, and 
characterization of nanomaterials in cancer nanotechnology research",Unknown,"BSD-3-Clause license
    ",24-Sep-13,https://github.com/sobolevnrm/npo ,domain-level,https://raw.githubusercontent.com/sobolevnrm/npo/master/npo-asserted.owl,https://www.sciencedirect.com/science/article/pii/S1532046410000341?via%3Dihub ,"135, https://scholar.google.de/scholar?cites=2668187709073527374&as_sdt=2005&sciodt=0,5&hl=en",,,"based on BFO, mappings to external vocabularies http://www.nano-ontology.org/",,
eNanoMapper,eNanomapper,Nanomaterial,"NanoSolveIT, NanoCommons, OpenRiskNet, eNanoMapper, NANoREG, NanoReg2, GRACIOUS",data integration for nanomaterial,Unknown,CC-BY 3.0,18-Jan-23,https://github.com/enanomapper/ontologies ,domain-level,https://raw.githubusercontent.com/enanomapper/ontologies/master/enanomapper.owl,https://jbiomedsem.biomedcentral.com/articles/10.1186/s13326-015-0005-5 ,"82, https://scholar.google.de/scholar?cites=13834819785540490564&as_sdt=2005&sciodt=0,5&hl=de",,,"Based on BFO, used many external ontologies https://github.com/enanomapper/ontologies/tree/master/external",,
MaterialsMine,MaterialsMine,Materials Science,,A materials ontology to support data publication involving nanomaterials and metamaterials,Unknown,MIT License,12-Jan-22,https://github.com/tetherless-world/materialsmine,domain-level,https://data.bioontology.org/ontologies/MATERIALSMINE/submissions/1/download?apikey=8b5b7825-538d-40e0-9e9e-5ab9274a9aeb,,,,"reusing NanoMine, PROVO",SIO top level ontology,,
MMOY,MMOY,Metallic materials,Unknown,,Unknown,Unknown,,,domain-level,,https://doi.org/10.1016/j.aei.2016.09.002,"10, https://scholar.google.de/scholar?cites=13438391881483974430&as_sdt=2005&sciodt=0,5&hl=de",,,,,
Materials And Molecules Basic Ontology,MAMBO,Molecular Materials,Unknown,"Allowing the retrieval of structured information regarding molecular materials and related applications (i.e. devices based on molecular, materials), Supporting the development of new, complex workflows for modelling systems based on molecular materials (computational modelling and data-driven techniques), Integrating data generated via computational simulations and empirical experiments",Unknown,Unknown,30-Nov-22,https://github.com/daimoners/MAMBO ,domain-level,https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl,https://openreview.net/forum?id=66VZ_9VC9ys ,"3, https://scholar.google.de/scholar?cites=6310126087377153546&as_sdt=2005&sciodt=0,5&hl=en",,,modular,,
Dislocation Ontology,DISO,Materials Characterization,"MuDiLingo, Helmholtz Metadata Collaboration (HMC)","defines the linear defect, in particular dislocation concepts and relations between them in crystalline materials",https://github.com/Materials-Data-Science-and-Informatics/dislocation-ontology/blob/master/CQs/CQs.md,MIT License,2-Jun-22,https://github.com/Materials-Data-Science-and-Informatics/dislocation-ontology ,domain-level,https://raw.githubusercontent.com/Materials-Data-Science-and-Informatics/dislocation-ontology/master/dislocation-ontology.ttl,https://arxiv.org/abs/2106.15136 ,"2, https://scholar.google.de/scholar?cites=12103827609271321048&as_sdt=2005&sciodt=0,5&hl=de",,MDO,"reusing existing  ontologies,  e.g.,  MDO,  EMMO,  and  QUDT",,
Materials Design Ontology,MDO,Materials Design,Materials Design (OPTIMADE) project,the domain knowledge specifically related to solid-state physics and computational materials science,https://github.com/LiUSemWeb/Materials-Design-Ontology/blob/master/requirements.md,MIT License,26-Jan-22,https://github.com/LiUSemWeb/Materials-Design-Ontology ,domain-level,http://rest.matportal.org/ontologies/MDO-FULL/submissions/1/download?apikey=66c82e77-ce0d-4385-8056-a95898e47ebb,https://link.springer.com/chapter/10.1007/978-3-030-62466-8_14 ,"7, https://citations.springernature.com/item?doi=10.1007/978-3-030-62466-8_14","literature study and discussion between the domain expert and the 
knowledge engineers based on experience with the development of OPTIMADE
 and the use of materials science databases",,modular,,
NanoMine,NanoMine,Polymer Nanocomposites,Nanomine,"enable researchers to develop and test broad-reaching hypotheses about how inter-relationships
between different materials processing methods and composition result in specific changes in material properties",Unknown,CC BY 4.0,09-May-2018,https://github.com/tetherless-world/nanomine-ontology ,domain-level,https://raw.githubusercontent.com/tetherless-world/nanomine-ontology/master/nanomine.ttl,https://doi.org/10.1063/1.5046839,"38, https://scholar.google.de/scholar?cites=12080685925036226858&as_sdt=2005&sciodt=0,5&hl=de",,,SIO top level ontology,,
"The Devices, Experimental scaffolds and Biomaterials Ontology",DEB,"Medical Eevices, Biomaterials",Database of Experimental Biomaterials and their Biological Effect,"organizing information about biomaterials, their design, manufacture, and biological testing",Unknown,GPL-3.0 license ,2-Jun-21,https://github.com/ProjectDebbie/Ontology_DEB ,domain-level,https://raw.githubusercontent.com/ProjectDebbie/Ontology_DEB/master/DEB_ont.owl,https://onlinelibrary.wiley.com/doi/abs/10.1002/adfm.201909910 ,"9, https://scholar.google.de/scholar?cites=12353694602050964569&as_sdt=2005&sciodt=0,5&hl=de",,,,,
Simple Knowledge Organization System (SKOS) version of Materials Data Vocabulary ,SKOS_MDO,Materials Science,Unknown,,Unknown,Unknown,1-Nov-17,https://data.nist.gov/od/id/67C783D4BA814C8EE05324570681708A1899,domain-level,https://data.nist.gov/od/ds/67C783D4BA814C8EE05324570681708A1899/NMRRVocab20210726.rdf ,http://doi.org/10.5334/dsj-2021-018,"10, https://scholar.google.de/scholar?cites=10554157718369981830&as_sdt=2005&sciodt=0,5&hl=de",,,,,
FreeClassOWL Ontology,FreeClass,Construction and building materials and services provides,Unknown,,Unknown,CC-BY 3.0,,http://smartcity.linkeddata.es/ontologies/www.freeclass.eufreeclass_v1.owl.html,domain-level,,,"1, https://doi.org/10.1016/j.compind.2015.07.005",,,"reuse/based on FreeClass, GoodRelations ",It's not modular,
Periodic Table Ontology,Periodictable,Representation of the Periodic Table of the Elements,Unknown,,Unknown,Unknown,5-Feb-04,http://www.daml.org/2003/01/periodictable/ ,domain-level,http://www.daml.org/2003/01/periodictable/PeriodicTable.owl,,,,,,,
Metal Alloy,MetalAlloy,Materials representation,Unknown,,Unknown,Unknown,,https://emmc.info/taxonda/metal-alloy/ ,domain-level,http://home.agh.edu.pl/~pmaciol/wordpress/wp-content/uploads/metal-alloy.zip,,,,,,,
EMMO Battery Interface Ontology,EMMO_BattINFO,Batteries,BIG-MAP,formalize the current state of knowledge on battery interfaces to support the development of computational tools and the deployment of interoperable data in the BIG-MAP project and beyond,Unknown,CC BY 4.0,9-Jun-22,https://github.com/BIG-MAP/BattINFO ,domain-level,https://raw.githubusercontent.com/BIG-MAP/BattINFO/master/battinfo.ttl,,,,,based on EMMO,,
Information Artifact Ontology,IAO,Information artifacts,"Adverse Event Reporting Ontology, An Ontology for Drug Discovery Investigations, Beta Cell Genomics database, Bioinformatics Web Service Ontology, Blood Ontology, eagle-i, eNanoMapper, Influenza Research Database, ISA software suite, Knowledge Grid, Neural ElectroMagnetic Ontologies, Ontology for the obstetric and neonatal domain, Ontology of Data Mining",model the most tangible aspect of research in computing disciplines – the research artifacts,https://openreview.net/forum?id=zd32pf6RLng,CC BY 4.0,13-Jun-22,https://github.com/information-artifact-ontology/IAO,domain-level,http://purl.obolibrary.org/obo/iao.owl,https://pubmed.ncbi.nlm.nih.gov/22874154/,"101, https://scholar.google.de/scholar?cites=9740979908528767104&as_sdt=2005&sciodt=0,5&hl=en",,,BFO & OBO base,,
Chemical Entities of Biological Interest,CheBi,Chemistry,"An Ontology for Drug Discovery Investigations, Beta Cell Genomics database, Cellosaurus, Children's Health Exposure Analysis Resource, Electrophysiology Ontology, eNanoMapper, Epidemic Marketplace, eTOX, ISA software suite, MASYMOS, MeRy-B, Neuroscience Information Framework, Open PHACTS, PubChem, SemGen, The MACiE Database, a database of enzyme reaction mechanisms, The Structure Function Linkage Database, Virtual Imaging Platform project",,Unknown,CC-BY 4.0,,https://ftp.ebi.ac.uk/pub/databases/chebi/ontology/,domain-level,https://ftp.ebi.ac.uk/pub/databases/chebi/ontology/chebi_lite.owl,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2238832/,"1168, https://scholar.google.de/scholar?cites=12539491029958784035&as_sdt=2005&sciodt=0,5&hl=en",,,BFO & OBO based,,
Open Energy Ontology,OEO,Energy Modelling,SzenarienDB,represent the context of energy system analysis based on standard terminologies used by human experts in this field of research,https://github.com/OpenEnergyPlatform/ontology/tree/dev/tests/competency_questions,CC0 1.0,19-Jul-22,https://github.com/OpenEnergyPlatform/ontology,domain-level,https://openenergy-platform.org/ontology/oeo/releases/oeo-full.owl,https://doi.org/10.1016/j.egyai.2021.100074,"33, https://scholar.google.de/scholar?cites=10985200504058512161&as_sdt=2005&sciodt=0,5&hl=en",,,"based on BFO, using external ontologies https://github.com/OpenEnergyPlatform/ontology/wiki/use-of-external-ontologies",,
Phenotype And Trait Ontology,PATO,"Phenotypic, Physical Qualities","OBO Foundry, Allotrope™","An ontology of phenotypic qualities (properties, attributes or characteristics).",Unknown,CC-BY 3.0,27-Jul-22,https://github.com/pato-ontology/pato,domain-level,http://purl.obolibrary.org/obo/pato.owl,https://pubmed.ncbi.nlm.nih.gov/28387809/,"72, https://scholar.google.de/scholar?cites=13247546834773986577&as_sdt=2005&sciodt=0,5&hl=en",,,BFO & OBO based,,
Units of measurement ontology,UO,Units,Unknown,,Unknown,CC-BY,20-Jun-22,https://github.com/bio-ontology-research-group/unit-ontology,domain-level,http://purl.obolibrary.org/obo/uo.owl,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3468815/,"108, https://scholar.google.de/scholar?cites=3060120582147019509&as_sdt=2005&sciodt=0,5&hl=de",,,,,
Ontology of units of Measure,OM,Units,Unknown,models concepts and relations important to scientific research,Unknown,CC BY 4.0,27-Nov-22,https://github.com/HajoRijgersberg/OM,domain-level,https://raw.githubusercontent.com/HajoRijgersberg/OM/master/om-2.0.rdf,10.3233/SW-2012-0069,"210, https://scholar.google.de/scholar?cites=17292059678245839149&as_sdt=2005&sciodt=0,5&hl=de",,,,,
"Quantities, Units, Dimensions, Values",QUDV,Units,Unknown,"conceptual model for Quantities, Units, Dimensions, Values (QUDV) to 
define systems of units and quantities for use in system models",Unknown,Unknown,,https://www.omgwiki.org/OMGSysML/lib/exe/fetch.php?media=sysml-qudv:qudv-owl:sysml-qudv.owl,domain-level,https://www.omgwiki.org/OMGSysML/lib/exe/fetch.php?media=sysml-qudv:qudv-owl:sysml-qudv-si.owl,,,,,,,
Ontology for Biomedical Investigations,OBI,Biomedicine,"OBO Foundry, Allotrope™, PubChem","a resource for annotating biomedical investigations, including the study design, protocols and instrumentation used, the data generated and the types of analysis performed on the data.",Unknown,CC-BY 4.0,11-Jul-22,https://github.com/obi-ontology/obi,domain-level,http://purl.obolibrary.org/obo/obi.owl,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0154556,"287, https://scholar.google.de/scholar?cites=9073086805698939095&as_sdt=2005&sciodt=0,5&hl=de",,,BFO & OBO based,,
NCI Thesaurus OBO Edition,NCIT,Reference Terminology,Unknown,,https://github.com/NCI-Thesaurus/thesaurus-obo-edition/blob/master/docs/queries/D6.MolecularSubtypingQueries.txt,Unknown,18-Apr-22,https://github.com/NCI-Thesaurus/thesaurus-obo-edition,domain-level,http://purl.obolibrary.org/obo/ncit.owl,https://link.springer.com/chapter/10.1007/11527770_30,"48, https://scholar.google.de/scholar?cites=5826104452354580506&as_sdt=2005&sciodt=0,5&hl=en",,,,,
"Quantities, Units, Dimensions, and Types Ontology",QUDT,Units,"Open PHACTS, StahlDigital, DigiBatMat, KupferDigital","define the base classes properties, and restrictions used for modeling 
physical quantities, units of measure, and their dimensions in various 
measurement systems",Unknown,CC BY 4.0,27-Jul-22,https://github.com/qudt/qudt-public-repo,domain-level,http://qudt.org/2.1/schema/qudt,https://doi.org/10.25504/FAIRsharing.d3pqw7,"28, https://scholar.google.de/scholar?cites=741455167358608771&as_sdt=2005&sciodt=0,5&hl=en",,,,,
Web Annotation Ontology,OA,Annotations,Unknown,,Unknown,Unknown,4-May-17,https://github.com/w3c/web-annotation,domain-level,http://www.w3.org/ns/oa.ttl,https://doi.org/10.1186/2041-1480-2-S2-S4,"183, https://scholar.google.de/scholar?cites=15728387328978931242&as_sdt=2005&sciodt=0,5&hl=en",,,,,
Ontology to describe Workflows in Linked Data,WILD,Process Modeling,DigiBatMat,describe workflow,Unknown,Unknown,4-Mar-22,https://databus.dbpedia.org/ontologies/purl.org/wild--vocab/2022.03.04-103146,domain-level,https://databus.dbpedia.org/ontologies/purl.org/wild--vocab/2022.03.04-103146/wild--vocab_type=parsed.owl,https://arxiv.org/abs/1804.05044,"20, https://scholar.google.de/scholar?cites=8483668570925496549&as_sdt=2005&sciodt=0,5&hl=en",,,,,
P-PLAN Ontology,P-PLAN,Plan and Process,StahlDigital,,Unknown,Unknown,21-Sep-20,http://vocab.linkeddata.es/p-plan/index.html,domain-level,http://www.opmw.org/p-plan.owl,,,,,,,
